ApplicationNumber,Age,Gender,IncomeSource,Income,Loan,LoanTerm,CIBIL,CoAppStatus,CoAppCIBIL,CoAppIncome,ApplicationThrough,ApplicationTime,MobileOS,Score
10200,32,Male,Self Employed,7000.0,265000.0,30.0,678.0,Yes,572.0,32000.0,DirectBank,09:54:00,,50.0
10201,27,Male,Professional,90000.0,321000.0,28.0,578.0,No,,,DirectBank,09:14:00,,36.0
10202,46,Female,Self Employed,12000.0,186000.0,29.0,679.0,No,,,PaidAd,05:06:00,Android,60.0
10203,51,Female,Salaried,43000.0,534000.0,34.0,,No,,,DirectBank,11:24:00,,52.0
10204,29,Male,Professional,13000.0,672000.0,26.0,734.0,Yes,504.0,24000.0,DirectBank,16:56:00,,60.0
10205,51,Male,Self Employed,15000.0,885000.0,27.0,452.0,Yes,745.0,9000.0,DirectBank,15:40:00,,69.0
10206,44,Male,Self Employed,25000.0,150000.0,19.0,307.0,No,,,Agent,17:04:00,,49.0
10207,51,Male,Business,23000.0,174000.0,20.0,,No,,,DirectBank,16:39:00,,47.0
10208,31,Male,Self Employed,28000.0,135000.0,14.0,,Yes,578.0,16000.0,DirectOnline,18:31:00,iOS,49.0
10209,41,Female,Self Employed,19000.0,109000.0,32.0,530.0,Yes,397.0,18000.0,PaidAd,11:48:00,Android,67.0
10210,28,Male,Professional,58000.0,127000.0,21.0,362.0,Yes,692.0,50000.0,DirectOnline,15:34:00,iOS,40.0
10211,28,Male,Self Employed,50000.0,425000.0,34.0,,No,,,DirectOnline,04:35:00,Android,68.0
10212,44,Male,Professional,16000.0,44000.0,33.0,655.0,Yes,832.0,13000.0,DirectOnline,21:39:00,Android,49.0
10213,25,Male,Self Employed,18000.0,711000.0,31.0,568.0,No,,,DirectBank,17:44:00,,52.0
10214,36,Male,Professional,26000.0,352000.0,22.0,340.0,No,,,DirectBank,16:37:00,,63.0
10215,41,Female,Self Employed,38000.0,91000.0,21.0,568.0,Yes,,15000.0,DirectBank,11:48:00,,58.0
10216,32,Male,Business,34000.0,351000.0,24.0,,Yes,500.0,12000.0,DirectBank,11:26:00,,66.0
10217,50,Male,Professional,58000.0,324000.0,26.0,521.0,Yes,,93000.0,DirectBank,11:18:00,,44.0
10218,33,Male,Self Employed,9000.0,385000.0,21.0,343.0,Yes,830.0,63000.0,PaidAd,15:11:00,Android,52.0
10219,28,Male,Self Employed,94000.0,547000.0,24.0,,No,,,DirectBank,17:32:00,,45.0
10220,47,Male,Self Employed,8000.0,271000.0,28.0,674.0,Yes,674.0,55000.0,DirectOnline,09:13:00,Android,54.0
10221,46,Others,Self Employed,36000.0,317000.0,19.0,756.0,No,,,PaidAd,18:53:00,Android,54.0
10222,32,Male,Self Employed,36000.0,129000.0,32.0,,Yes,364.0,15000.0,DirectBank,14:26:00,,59.0
10223,30,Female,Self Employed,36000.0,335000.0,30.0,479.0,Yes,666.0,69000.0,Agent,17:20:00,,37.0
10224,36,Female,Self Employed,6000.0,394000.0,33.0,802.0,No,,,DirectBank,17:53:00,,45.0
10225,24,Female,Business,9000.0,367000.0,30.0,450.0,Yes,646.0,11000.0,DirectBank,12:33:00,,53.0
10226,41,Male,Salaried,13000.0,459000.0,20.0,851.0,Yes,,5000.0,DirectBank,09:33:00,,51.0
10227,35,Male,Self Employed,6000.0,83000.0,16.0,672.0,Yes,,53000.0,DirectBank,16:58:00,,53.0
10228,25,Male,Self Employed,29000.0,373000.0,23.0,442.0,No,,,DirectOnline,20:11:00,Android,66.0
10229,24,Male,Salaried,40000.0,404000.0,23.0,583.0,No,,,DirectBank,11:55:00,,52.0
10230,61,Female,Self Employed,11000.0,82000.0,25.0,578.0,No,,,PaidAd,18:33:00,Android,67.0
10231,60,Female,Self Employed,32000.0,117000.0,16.0,658.0,Yes,563.0,39000.0,DirectBank,10:40:00,,40.0
10232,42,Female,Self Employed,33000.0,498000.0,31.0,685.0,Yes,353.0,39000.0,DirectBank,11:54:00,,58.0
10233,32,Male,Self Employed,15000.0,423000.0,34.0,443.0,Yes,370.0,30000.0,DirectOnline,16:09:00,Android,73.0
10234,49,Female,Self Employed,19000.0,262000.0,18.0,668.0,No,,,Agent,11:29:00,,43.0
10235,44,Male,Business,22000.0,86000.0,14.0,609.0,Yes,389.0,5000.0,DirectBank,13:20:00,,44.0
10236,27,Male,Self Employed,7000.0,63000.0,12.0,488.0,Yes,890.0,49000.0,DirectBank,11:57:00,,41.0
10237,25,Male,Professional,54000.0,318000.0,26.0,678.0,Yes,378.0,13000.0,DirectOnline,15:40:00,Android,51.0
10238,57,Female,Business,19000.0,261000.0,29.0,416.0,Yes,565.0,15000.0,PaidAd,15:52:00,iOS,50.0
10239,24,Female,Self Employed,8000.0,864000.0,31.0,486.0,No,,,PaidAd,15:29:00,Android,55.0
10240,33,Male,Self Employed,7000.0,151000.0,18.0,679.0,Yes,375.0,32000.0,PaidAd,19:28:00,Android,60.0
10241,21,Female,Self Employed,47000.0,481000.0,35.0,400.0,Yes,,19000.0,DirectOnline,15:32:00,Android,52.0
10242,56,Female,Salaried,54000.0,304000.0,34.0,560.0,Yes,628.0,40000.0,PaidAd,14:06:00,Android,44.0
10243,58,Male,Professional,16000.0,121000.0,30.0,675.0,Yes,608.0,42000.0,DirectOnline,12:04:00,Android,56.0
