ApplicationNumber,Age,Gender,IncomeSource,Income,Loan,LoanTerm,CIBIL,CoAppStatus,CoAppCIBIL,CoAppIncome,ApplicationThrough,ApplicationTime,MobileOS,Score
10200,32,Male,Self Employed,7000.0,265000.0,30.0,678.0,Yes,572.0,32000.0,DirectBank,09:54:00,,50.0
10201,27,Male,Professional,90000.0,321000.0,28.0,578.0,No,,,DirectBank,09:14:00,,36.0
10206,44,Male,Self Employed,25000.0,150000.0,19.0,307.0,No,,,Agent,17:04:00,,49.0
10207,51,Male,Business,23000.0,174000.0,20.0,,No,,,DirectBank,16:39:00,,47.0
10208,31,Male,Self Employed,28000.0,135000.0,14.0,,Yes,578.0,16000.0,DirectOnline,18:31:00,iOS,49.0
10210,28,Male,Professional,58000.0,127000.0,21.0,362.0,Yes,692.0,50000.0,DirectOnline,15:34:00,iOS,40.0
10212,44,Male,Professional,16000.0,44000.0,33.0,655.0,Yes,832.0,13000.0,DirectOnline,21:39:00,Android,49.0
10217,50,Male,Professional,58000.0,324000.0,26.0,521.0,Yes,,93000.0,DirectBank,11:18:00,,44.0
10219,28,Male,Self Employed,94000.0,547000.0,24.0,,No,,,DirectBank,17:32:00,,45.0
10223,30,Female,Self Employed,36000.0,335000.0,30.0,479.0,Yes,666.0,69000.0,Agent,17:20:00,,37.0
10224,36,Female,Self Employed,6000.0,394000.0,33.0,802.0,No,,,DirectBank,17:53:00,,45.0
10231,60,Female,Self Employed,32000.0,117000.0,16.0,658.0,Yes,563.0,39000.0,DirectBank,10:40:00,,40.0
10234,49,Female,Self Employed,19000.0,262000.0,18.0,668.0,No,,,Agent,11:29:00,,43.0
10235,44,Male,Business,22000.0,86000.0,14.0,609.0,Yes,389.0,5000.0,DirectBank,13:20:00,,44.0
10236,27,Male,Self Employed,7000.0,63000.0,12.0,488.0,Yes,890.0,49000.0,DirectBank,11:57:00,,41.0
10238,57,Female,Business,19000.0,261000.0,29.0,416.0,Yes,565.0,15000.0,PaidAd,15:52:00,iOS,50.0
10242,56,Female,Salaried,54000.0,304000.0,34.0,560.0,Yes,628.0,40000.0,PaidAd,14:06:00,Android,44.0
10247,29,Female,Self Employed,84000.0,327000.0,24.0,310.0,Yes,376.0,30000.0,DirectOnline,19:40:00,Android,47.0
10248,38,Male,Self Employed,9000.0,325000.0,33.0,688.0,Yes,614.0,36000.0,DirectBank,17:52:00,,43.0
10249,36,Male,Business,14000.0,354000.0,24.0,552.0,No,,,DirectOnline,10:42:00,Android,48.0
10250,25,Male,Self Employed,15000.0,164000.0,23.0,438.0,No,,,Agent,11:22:00,,46.0
10252,53,Female,Self Employed,55000.0,126000.0,29.0,456.0,No,,,DirectBank,10:06:00,,42.0
10254,25,Male,Self Employed,31000.0,187000.0,18.0,463.0,Yes,616.0,90000.0,DirectBank,12:05:00,,48.0
10255,52,Female,Salaried,94000.0,370000.0,22.0,377.0,Yes,583.0,42000.0,DirectBank,10:53:00,,37.0
10256,29,Female,Business,54000.0,429000.0,34.0,866.0,Yes,,6000.0,DirectBank,15:40:00,,43.0
10259,65,Female,Self Employed,40000.0,106000.0,12.0,613.0,No,,,DirectBank,16:39:00,,48.0
10260,42,Female,Salaried,24000.0,396000.0,21.0,577.0,Yes,875.0,16000.0,DirectBank,09:14:00,,42.0
10262,54,Male,Professional,31000.0,299000.0,32.0,579.0,Yes,551.0,38000.0,Agent,12:50:00,,43.0
10263,38,Male,Self Employed,37000.0,203000.0,33.0,468.0,No,,,DirectOnline,09:19:00,Android,45.0
10264,62,Female,Salaried,39000.0,76000.0,25.0,338.0,Yes,572.0,27000.0,DirectBank,11:20:00,,43.0
10272,61,Female,Self Employed,79000.0,93000.0,25.0,716.0,Yes,452.0,19000.0,DirectBank,15:21:00,,43.0
10275,43,Male,Self Employed,81000.0,388000.0,28.0,627.0,No,,,DirectBank,15:32:00,,46.0
10276,33,Female,Business,55000.0,395000.0,30.0,618.0,Yes,,7000.0,DirectBank,09:25:00,,42.0
10278,26,Female,Business,37000.0,470000.0,21.0,893.0,No,,,DirectBank,14:24:00,,44.0
10279,36,Female,Self Employed,36000.0,57000.0,14.0,512.0,Yes,501.0,20000.0,DirectOnline,16:08:00,Android,44.0
10281,43,Male,Salaried,54000.0,106000.0,18.0,593.0,Yes,472.0,31000.0,DirectBank,14:55:00,,37.0
10282,58,Male,Salaried,15000.0,75000.0,32.0,639.0,No,,,DirectBank,09:27:00,,42.0
10283,59,Female,Business,27000.0,135000.0,20.0,397.0,Yes,814.0,7000.0,DirectOnline,11:29:00,Android,48.0
10285,53,Female,Salaried,43000.0,369000.0,19.0,874.0,Yes,517.0,60000.0,PaidAd,20:13:00,Android,41.0
10287,23,Female,Salaried,73000.0,143000.0,26.0,531.0,Yes,581.0,47000.0,DirectOnline,23:32:00,Android,49.0
10294,48,Female,Business,34000.0,483000.0,30.0,562.0,Yes,440.0,18000.0,DirectBank,12:08:00,,45.0
10295,50,Male,Professional,52000.0,463000.0,27.0,792.0,No,,,DirectBank,09:04:00,,41.0
10297,46,Female,Self Employed,21000.0,61000.0,25.0,652.0,Yes,586.0,10000.0,Agent,15:40:00,,50.0
10298,36,Female,Self Employed,25000.0,93000.0,14.0,,Yes,427.0,45000.0,DirectBank,16:31:00,,40.0
