ApplicationNumber,OpenCredit,MonthlyCreditPayment,CreditHistory,MinBalance,ChequeBounce,DebitToDemat
10200,291500.0,29150.0,6.0,0.0,No,No
10201,160500.0,4115.0,76.0,2.0,No,No
10202,18600.0,365.0,76.0,4.0,No,No
10203,267000.0,4944.0,16.0,1.0,No,Yes
10204,470400.00000000006,10691.0,38.0,4.0,No,No
10205,531000.0000000001,11800.0,16.0,2.0,Yes,No
10206,30000.0,833.0,40.0,0.0,No,Yes
10207,69600.0,1313.0,74.0,2.0,No,No
10208,67500.0,2109.0,90.0,0.0,No,No
10209,130800.0,6884.0,63.0,2.0,Yes,Yes
10210,12700.0,508.0,63.0,0.0,No,No
10211,297500.0,18594.0,89.0,2.0,Yes,No
10212,22000.0,786.0,68.0,0.0,Yes,No
10213,284400.0,6464.0,10.0,0.0,No,No
10214,176000.0,12571.0,58.0,3.0,Yes,No
10215,100100.0,16683.0,10.0,1.0,No,No
10216,175500.0,10969.0,29.0,1.0,Yes,No
10217,226800.00000000003,4536.0,78.0,3.0,No,No
10218,38500.0,740.0,11.0,1.0,No,No
10219,109400.0,10940.0,53.0,0.0,No,Yes
10220,108400.0,4015.0,75.0,0.0,No,No
10221,380400.00000000006,7177.0,43.0,2.0,No,Yes
10222,77400.00000000001,1843.0,30.0,0.0,Yes,Yes
10223,134000.0,2680.0,39.0,0.0,No,No
10224,197000.0,9381.0,26.0,0.0,No,No
10225,256900.00000000003,9515.0,12.0,1.0,No,No
10226,183600.0,10800.0,8.0,1.0,No,Yes
10227,16600.0,325.0,77.0,3.0,No,No
10228,484900.0,60612.0,0.0,2.0,No,No
10229,282800.0,40400.0,11.0,1.0,No,No
10230,123000.0,13667.0,35.0,1.0,No,No
10231,128700.0,2340.0,94.0,0.0,No,No
10232,249000.0,4293.0,22.0,4.0,Yes,No
10233,338400.0,8677.0,21.0,2.0,No,No
10234,131000.0,3853.0,21.0,0.0,No,No
10235,51600.00000000001,2243.0,45.0,0.0,No,No
10236,12600.0,1145.0,85.0,0.0,No,No
10237,222600.00000000003,4839.0,23.0,1.0,No,No
10238,130500.0,3625.0,70.0,1.0,No,No
10239,432000.0,21600.0,25.0,0.0,No,No
10240,30200.0,3356.0,13.0,2.0,No,No
10241,481000.0,10689.0,13.0,0.0,No,No
10242,121600.0,2171.0,77.0,1.0,No,No
