ApplicationNumber,Graduate,Residence,MaritalStatus
10200,Yes,Urban,Married
10201,No,Urban,Married
10202,No,Semi Urban,Married
10203,No,Urban,Married
10204,No,Rural,Married
10205,No,Urban,Married
10206,No,Semi Urban,Married
10207,No,Urban,Married
10208,No,Rural,Married
10209,No,Rural,Single
10210,No,Rural,Single
10211,No,Urban,Married
10212,Yes,Rural,Married
10213,No,Rural,Single
10214,No,Rural,Married
10215,No,Semi Urban,Married
10216,No,Semi Urban,Married
10217,No,Rural,Married
10218,No,Rural,Married
10219,No,Rural,Married
10220,Yes,Rural,Married
10221,No,Semi Urban,Single
10222,No,Rural,Married
10223,No,Urban,Married
10224,No,Rural,Married
10225,Yes,Urban,Single
10226,No,Rural,Married
10227,No,Semi Urban,Married
10228,No,Rural,Single
10229,No,Semi Urban,Single
10230,No,Rural,Married
10231,No,Urban,Married
10232,No,Rural,Married
10233,No,Rural,Married
10234,No,Urban,Single
10235,Yes,Semi Urban,Married
10236,Yes,Urban,Married
10237,No,Urban,Single
10238,Yes,Urban,Married
10239,No,Urban,Single
10240,No,Rural,Single
10241,No,Urban,Single
10242,No,Urban,Married
10243,No,Rural,Married
10244,No,Semi Urban,Single
10245,No,Rural,Married
10246,No,Urban,Single
10247,No,Urban,Single
10248,Yes,Rural,Single
10249,Yes,Rural,Married
10250,No,Urban,Single
10251,No,Urban,Married
10252,Yes,Semi Urban,Married
10253,No,Urban,Married
10254,No,Semi Urban,Single
10255,No,Rural,Single
10256,No,Rural,Married
10257,No,Rural,Married
10258,No,Rural,Single
10259,No,Rural,Married
10260,No,Rural,Married
10261,No,Urban,Married
10262,Yes,Urban,Single
10263,Yes,Rural,Married
10264,No,Urban,Married
10265,No,Urban,Married
10266,Yes,Semi Urban,Married
10267,No,Semi Urban,Married
10268,No,Urban,Married
10269,No,Rural,Married
10270,No,Rural,Married
10271,No,Urban,Married
10272,No,Rural,Married
10273,No,Rural,Single
10274,No,Urban,Married
10275,Yes,Urban,Married
10276,No,Semi Urban,Single
10277,Yes,Rural,Married
10278,No,Urban,Married
10279,No,Rural,Single
10280,No,Urban,Married
10281,Yes,Rural,Married
10282,Yes,Semi Urban,Single
10283,No,Rural,Married
10284,No,Semi Urban,Single
10285,No,Rural,Single
10286,Yes,Rural,Single
10287,No,Semi Urban,Single
10288,No,Semi Urban,Married
10289,Yes,Rural,Married
10290,No,Urban,Married
10291,No,Urban,Married
10292,No,Semi Urban,Single
10293,No,Rural,Married
10294,No,Urban,Married
10295,No,Rural,Married
10296,No,Semi Urban,Single
10297,No,Semi Urban,Married
10298,No,Urban,Married
10299,No,Urban,Single
10300,Yes,Rural,Single
10301,Yes,Semi Urban,Married
10302,No,Urban,Married
10303,Yes,Rural,Married
10304,Yes,Semi Urban,Married
10305,Yes,Rural,Married
10306,No,Rural,Single
10307,Yes,Rural,Married
10308,No,Semi Urban,Married
10309,No,Semi Urban,Single
10310,No,Rural,Single
10311,No,Semi Urban,Married
10312,No,Rural,Married
10313,Yes,Urban,Married
10314,No,Rural,Married
10315,No,Urban,Single
10316,No,Urban,Single
10317,No,Rural,Married
10318,No,Rural,Single
10319,No,Rural,Married
10320,No,Urban,Married
10321,Yes,Rural,Single
10322,No,Rural,Single
10323,No,Rural,Single
10324,No,Urban,Single
10325,No,Urban,Single
10326,No,Rural,Married
10327,No,Urban,Married
10328,No,Rural,Married
10329,No,Rural,Married
10330,No,Urban,Married
10331,No,Rural,Married
10332,Yes,Rural,Married
10333,No,Rural,Single
10334,No,Urban,Single
10335,No,Urban,Married
10336,No,Urban,Married
10337,Yes,Urban,Married
10338,No,Urban,Single
10339,No,Urban,Married
10340,Yes,Urban,Married
10341,No,Rural,Married
10342,No,Semi Urban,Married
10343,No,Rural,Married
10344,No,Urban,Married
10345,Yes,Semi Urban,Married
10346,Yes,Rural,Married
10347,No,Rural,Married
10348,No,Rural,Married
10349,No,Rural,Married
10350,No,Semi Urban,Married
10351,No,Urban,Single
10352,No,Rural,Married
10353,No,Urban,Single
10354,Yes,Urban,Married
10355,No,Urban,Married
10356,Yes,Semi Urban,Married
10357,No,Semi Urban,Married
10358,No,Urban,Married
10359,Yes,Rural,Single
10360,Yes,Semi Urban,Married
10361,Yes,Urban,Married
10362,No,Rural,Married
10363,No,Semi Urban,Married
10364,No,Urban,Single
10365,No,Semi Urban,Married
10366,No,Semi Urban,Single
10367,No,Rural,Married
10368,No,Urban,Married
10369,No,Semi Urban,Single
10370,No,Rural,Married
10371,Yes,Urban,Married
10372,No,Rural,Married
10373,No,Rural,Married
10374,No,Urban,Single
10375,No,Urban,Single
10376,No,Rural,Married
10377,No,Rural,Married
10378,No,Semi Urban,Single
10379,No,Urban,Married
10380,No,Rural,Married
10381,No,Rural,Married
10382,No,Rural,Single
10383,No,Rural,Married
10384,No,Urban,Married
10385,No,Rural,Married
10386,No,Semi Urban,Single
10387,Yes,Urban,Married
10388,No,Rural,Single
10389,Yes,Rural,Married
10390,No,Urban,Married
10391,No,Semi Urban,Married
10392,No,Rural,Married
10393,Yes,Urban,Married
10394,No,Urban,Married
10395,No,Rural,Single
10396,Yes,Semi Urban,Married
10397,No,Rural,Single
10398,No,Rural,Married
10399,Yes,Rural,Married
10400,No,Rural,Single
10401,No,Semi Urban,Married
10402,No,Rural,Married
10403,No,Urban,Married
10404,No,Rural,Single
