ApplicationNumber,Graduate,Residence,MaritalStatus
10200,Yes,Urban,Married
10201,No,Urban,Married
10206,No,Semi Urban,Married
10207,No,Urban,Married
10208,No,Rural,Married
10210,No,Rural,Single
10212,Yes,Rural,Married
10217,No,Rural,Married
10219,No,Rural,Married
10223,No,Urban,Married
10224,No,Rural,Married
10231,No,Urban,Married
10234,No,Urban,Single
10235,Yes,Semi Urban,Married
10236,Yes,Urban,Married
10238,Yes,Urban,Married
10242,No,Urban,Married
10247,No,Urban,Single
10248,Yes,Rural,Single
10249,Yes,Rural,Married
10250,No,Urban,Single
10252,Yes,Semi Urban,Married
10254,No,Semi Urban,Single
10255,No,Rural,Single
10256,No,Rural,Married
10259,No,Rural,Married
10260,No,Rural,Married
10262,Yes,Urban,Single
10263,Yes,Rural,Married
10264,No,Urban,Married
10272,No,Rural,Married
10275,Yes,Urban,Married
10276,No,Semi Urban,Single
10278,No,Urban,Married
10279,No,Rural,Single
10281,Yes,Rural,Married
10282,Yes,Semi Urban,Single
10283,No,Rural,Married
10285,No,Rural,Single
10287,No,Semi Urban,Single
10294,No,Urban,Married
10295,No,Rural,Married
10297,No,Semi Urban,Married
10298,No,Urban,Married
10302,No,Urban,Married
10303,Yes,Rural,Married
10305,Yes,Rural,Married
10309,No,Semi Urban,Single
10310,No,Rural,Single
10312,No,Rural,Married
10313,Yes,Urban,Married
10314,No,Rural,Married
10316,No,Urban,Single
10321,Yes,Rural,Single
10322,No,Rural,Single
10323,No,Rural,Single
10325,No,Urban,Single
10326,No,Rural,Married
10327,No,Urban,Married
10328,No,Rural,Married
10330,No,Urban,Married
10332,Yes,Rural,Married
10333,No,Rural,Single
10334,No,Urban,Single
10335,No,Urban,Married
10336,No,Urban,Married
10339,No,Urban,Married
10340,Yes,Urban,Married
10344,No,Urban,Married
10351,No,Urban,Single
10353,No,Urban,Single
10355,No,Urban,Married
10356,Yes,Semi Urban,Married
10360,Yes,Semi Urban,Married
10368,No,Urban,Married
10369,No,Semi Urban,Single
10371,Yes,Urban,Married
10373,No,Rural,Married
10376,No,Rural,Married
10377,No,Rural,Married
10379,No,Urban,Married
10382,No,Rural,Single
10384,No,Urban,Married
10388,No,Rural,Single
10389,Yes,Rural,Married
10390,No,Urban,Married
10392,No,Rural,Married
10394,No,Urban,Married
10395,No,Rural,Single
10398,No,Rural,Married
10400,No,Rural,Single
10401,No,Semi Urban,Married
10402,No,Rural,Married
10403,No,Urban,Married
10407,No,Urban,Married
10411,No,Urban,Married
10414,No,Rural,Married
10415,Yes,Urban,Married
10416,No,Rural,Married
10418,No,Rural,Married
10421,No,Rural,Married
10423,Yes,Urban,Single
10424,No,Rural,Married
10426,Yes,Semi Urban,Married
10429,Yes,Urban,Single
10430,No,Rural,Married
10431,No,Rural,Married
10434,No,Urban,Single
10435,Yes,Urban,Married
10436,No,Urban,Single
10437,Yes,Semi Urban,Married
10438,Yes,Urban,Married
10445,No,Urban,Single
10446,No,Rural,Single
10449,No,Rural,Married
10450,Yes,Urban,Single
10452,No,Urban,Married
10453,No,Urban,Married
10454,No,Urban,Married
10456,No,Rural,Married
10458,No,Urban,Single
10461,No,Rural,Married
10462,No,Urban,Married
10466,No,Semi Urban,Married
10468,No,Urban,Married
10469,No,Urban,Single
10470,No,Urban,Married
10471,Yes,Semi Urban,Married
10472,Yes,Semi Urban,Married
10473,Yes,Semi Urban,Married
10474,No,Rural,Single
10483,No,Semi Urban,Married
10486,No,Rural,Married
10487,No,Semi Urban,Married
10488,No,Urban,Married
10489,Yes,Rural,Single
10490,No,Rural,Single
10491,No,Rural,Single
10496,Yes,Urban,Married
10498,No,Rural,Single
10499,No,Rural,Single
10501,No,Urban,Single
10502,No,Rural,Married
10503,No,Rural,Married
10506,No,Rural,Married
10507,No,Semi Urban,Married
10511,Yes,Rural,Married
10512,No,Urban,Married
10517,Yes,Urban,Married
10518,Yes,Rural,Married
10520,No,Rural,Single
10523,No,Urban,Married
10526,No,Rural,Single
10529,Yes,Semi Urban,Married
10530,Yes,Rural,Married
10531,No,Rural,Married
10532,No,Rural,Single
10533,No,Urban,Married
10534,No,Urban,Married
10541,No,Rural,Single
10542,No,Rural,Married
10544,Yes,Rural,Married
10547,No,Rural,Single
10549,Yes,Semi Urban,Single
10550,No,Semi Urban,Married
10552,No,Semi Urban,Married
10553,No,Semi Urban,Married
10554,No,Semi Urban,Single
10556,No,Urban,Single
10557,No,Rural,Single
10558,Yes,Rural,Married
10562,No,Urban,Married
10563,Yes,Rural,Married
10568,No,Urban,Married
10570,No,Urban,Married
10573,No,Urban,Single
10574,No,Rural,Married
10581,No,Urban,Married
10582,No,Rural,Single
10583,No,Urban,Married
10585,No,Urban,Married
10586,No,Urban,Married
10590,No,Urban,Married
10591,No,Urban,Married
10592,Yes,Semi Urban,Married
10593,Yes,Rural,Married
10595,No,Rural,Married
10596,Yes,Urban,Married
10603,No,Rural,Married
10604,No,Rural,Single
10607,No,Urban,Married
10608,No,Rural,Married
10609,No,Semi Urban,Married
10613,No,Rural,Married
10617,No,Urban,Single
10618,No,Urban,Married
10619,No,Rural,Married
10623,Yes,Rural,Married
10624,No,Rural,Single
10625,No,Urban,Single
10627,No,Semi Urban,Married
10628,No,Urban,Married
10629,No,Rural,Married
10633,No,Semi Urban,Married
10634,No,Urban,Married
10635,No,Urban,Single
